2024-06-04 00:13:03,348 INFO  SnsAmbassador - Added Vehicle id=veh_29 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=44.000,000,000 s
2024-06-04 00:13:03,349 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_29 @time=44.000,000,000 s
2024-06-04 00:13:03,455 INFO  SnsAmbassador - Removed Node id=veh_2 @time=48.000,000,000 s
2024-06-04 00:13:03,494 INFO  SnsAmbassador - Added Vehicle id=veh_32 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=49.000,000,000 s
2024-06-04 00:13:03,495 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_32 @time=49.000,000,000 s
2024-06-04 00:13:03,495 INFO  SnsAmbassador - Added Vehicle id=veh_34 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=49.000,000,000 s
2024-06-04 00:13:03,495 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_34 @time=49.000,000,000 s
2024-06-04 00:13:03,495 INFO  SnsAmbassador - Removed Node id=veh_17 @time=49.000,000,000 s
2024-06-04 00:13:03,521 INFO  SnsAmbassador - Added Vehicle id=veh_33 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=50.000,000,000 s
2024-06-04 00:13:03,522 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_33 @time=50.000,000,000 s
2024-06-04 00:13:03,593 INFO  SnsAmbassador - Removed Node id=veh_20 @time=52.000,000,000 s
2024-06-04 00:13:03,634 INFO  SnsAmbassador - Removed Node id=veh_24 @time=54.000,000,000 s
2024-06-04 00:13:03,679 INFO  SnsAmbassador - Added Vehicle id=veh_36 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=55.000,000,000 s
2024-06-04 00:13:03,679 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_36 @time=55.000,000,000 s
2024-06-04 00:13:03,679 INFO  SnsAmbassador - Added Vehicle id=veh_38 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=55.000,000,000 s
2024-06-04 00:13:03,679 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_38 @time=55.000,000,000 s
2024-06-04 00:13:03,680 INFO  SnsAmbassador - Removed Node id=veh_21 @time=55.000,000,000 s
2024-06-04 00:13:03,704 INFO  SnsAmbassador - Added Vehicle id=veh_37 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=56.000,000,000 s
2024-06-04 00:13:03,705 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_37 @time=56.000,000,000 s
2024-06-04 00:13:03,739 INFO  SnsAmbassador - Removed Node id=veh_28 @time=58.000,000,000 s
2024-06-04 00:13:03,818 INFO  SnsAmbassador - Added Vehicle id=veh_40 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=61.000,000,000 s
2024-06-04 00:13:03,818 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_40 @time=61.000,000,000 s
2024-06-04 00:13:03,818 INFO  SnsAmbassador - Added Vehicle id=veh_42 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=61.000,000,000 s
2024-06-04 00:13:03,818 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_42 @time=61.000,000,000 s
2024-06-04 00:13:03,818 INFO  SnsAmbassador - Removed Node id=veh_25 @time=61.000,000,000 s
2024-06-04 00:13:03,833 INFO  SnsAmbassador - Added Vehicle id=veh_41 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=62.000,000,000 s
2024-06-04 00:13:03,833 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_41 @time=62.000,000,000 s
2024-06-04 00:13:03,865 INFO  SnsAmbassador - Removed Node id=veh_32 @time=64.000,000,000 s
2024-06-04 00:13:04,025 INFO  SnsAmbassador - Added Vehicle id=veh_44 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=67.000,000,000 s
2024-06-04 00:13:04,025 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_44 @time=67.000,000,000 s
2024-06-04 00:13:04,025 INFO  SnsAmbassador - Added Vehicle id=veh_46 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=67.000,000,000 s
2024-06-04 00:13:04,025 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_46 @time=67.000,000,000 s
2024-06-04 00:13:04,025 INFO  SnsAmbassador - Removed Node id=veh_29 @time=67.000,000,000 s
2024-06-04 00:13:04,046 INFO  SnsAmbassador - Added Vehicle id=veh_45 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=68.000,000,000 s
2024-06-04 00:13:04,046 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_45 @time=68.000,000,000 s
2024-06-04 00:13:04,078 INFO  SnsAmbassador - Removed Node id=veh_36 @time=70.000,000,000 s
2024-06-04 00:13:04,167 INFO  SnsAmbassador - Added Vehicle id=veh_48 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=73.000,000,000 s
2024-06-04 00:13:04,167 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_48 @time=73.000,000,000 s
2024-06-04 00:13:04,168 INFO  SnsAmbassador - Added Vehicle id=veh_50 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=73.000,000,000 s
2024-06-04 00:13:04,168 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_50 @time=73.000,000,000 s
2024-06-04 00:13:04,168 INFO  SnsAmbassador - Removed Node id=veh_33 @time=73.000,000,000 s
2024-06-04 00:13:04,185 INFO  SnsAmbassador - Added Vehicle id=veh_49 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=74.000,000,000 s
2024-06-04 00:13:04,186 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_49 @time=74.000,000,000 s
2024-06-04 00:13:04,244 INFO  SnsAmbassador - Removed Node id=veh_6 @time=77.000,000,000 s
2024-06-04 00:13:04,294 INFO  SnsAmbassador - Added Vehicle id=veh_52 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=79.000,000,000 s
2024-06-04 00:13:04,294 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_52 @time=79.000,000,000 s
2024-06-04 00:13:04,294 INFO  SnsAmbassador - Added Vehicle id=veh_54 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=79.000,000,000 s
2024-06-04 00:13:04,294 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_54 @time=79.000,000,000 s
2024-06-04 00:13:04,294 INFO  SnsAmbassador - Removed Node id=veh_37 @time=79.000,000,000 s
2024-06-04 00:13:04,317 INFO  SnsAmbassador - Added Vehicle id=veh_53 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=80.000,000,000 s
2024-06-04 00:13:04,317 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_53 @time=80.000,000,000 s
2024-06-04 00:13:04,376 INFO  SnsAmbassador - Removed Node id=veh_40 @time=82.000,000,000 s
2024-06-04 00:13:04,398 INFO  SnsAmbassador - Removed Node id=veh_44 @time=83.000,000,000 s
