2024-06-04 00:13:02,783 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_20" received at simulation time 30000000000 ns (subscribe=true)
2024-06-04 00:13:02,783 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_21" received at simulation time 30000000000 ns (subscribe=true)
2024-06-04 00:13:02,783 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_22" received at simulation time 30000000000 ns (subscribe=true)
2024-06-04 00:13:02,783 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_23" received at simulation time 30000000000 ns (subscribe=true)
2024-06-04 00:13:02,807 INFO  SumoGuiAmbassador - Adding new vehicle "veh_20" at simulation time 30000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:02,808 INFO  SumoGuiAmbassador - Adding new vehicle "veh_21" at simulation time 30000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:02,809 INFO  SumoGuiAmbassador - Adding new vehicle "veh_22" at simulation time 30000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,809 INFO  SumoGuiAmbassador - Adding new vehicle "veh_23" at simulation time 30000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,812 INFO  SimulationFacade - Removed vehicle "veh_5" at simulation time 31000000000ns
2024-06-04 00:13:03,012 INFO  SimulationFacade - Removed vehicle "veh_12" at simulation time 34000000000ns
2024-06-04 00:13:03,080 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_24" received at simulation time 36000000000 ns (subscribe=true)
2024-06-04 00:13:03,080 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_25" received at simulation time 36000000000 ns (subscribe=true)
2024-06-04 00:13:03,080 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_26" received at simulation time 36000000000 ns (subscribe=true)
2024-06-04 00:13:03,080 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_27" received at simulation time 36000000000 ns (subscribe=true)
2024-06-04 00:13:03,102 INFO  SumoGuiAmbassador - Adding new vehicle "veh_24" at simulation time 36000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:03,103 INFO  SumoGuiAmbassador - Adding new vehicle "veh_25" at simulation time 36000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:03,104 INFO  SumoGuiAmbassador - Adding new vehicle "veh_26" at simulation time 36000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,106 INFO  SumoGuiAmbassador - Adding new vehicle "veh_27" at simulation time 36000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,110 INFO  SimulationFacade - Removed vehicle "veh_9" at simulation time 37000000000ns
2024-06-04 00:13:03,142 INFO  SimulationFacade - Removed vehicle "veh_3" at simulation time 38000000000ns
2024-06-04 00:13:03,199 INFO  SimulationFacade - Removed vehicle "veh_16" at simulation time 40000000000ns
2024-06-04 00:13:03,281 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_28" received at simulation time 42000000000 ns (subscribe=true)
2024-06-04 00:13:03,281 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_29" received at simulation time 42000000000 ns (subscribe=true)
2024-06-04 00:13:03,281 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_30" received at simulation time 42000000000 ns (subscribe=true)
2024-06-04 00:13:03,281 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_31" received at simulation time 42000000000 ns (subscribe=true)
2024-06-04 00:13:03,306 INFO  SumoGuiAmbassador - Adding new vehicle "veh_28" at simulation time 42000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:03,307 INFO  SumoGuiAmbassador - Adding new vehicle "veh_29" at simulation time 42000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:03,308 INFO  SumoGuiAmbassador - Adding new vehicle "veh_30" at simulation time 42000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,309 INFO  SumoGuiAmbassador - Adding new vehicle "veh_31" at simulation time 42000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,312 INFO  SimulationFacade - Removed vehicle "veh_13" at simulation time 43000000000ns
2024-06-04 00:13:03,450 INFO  SimulationFacade - Removed vehicle "veh_2" at simulation time 48000000000ns
2024-06-04 00:13:03,452 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_32" received at simulation time 48000000000 ns (subscribe=true)
2024-06-04 00:13:03,452 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_33" received at simulation time 48000000000 ns (subscribe=true)
2024-06-04 00:13:03,452 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_34" received at simulation time 48000000000 ns (subscribe=true)
2024-06-04 00:13:03,452 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_35" received at simulation time 48000000000 ns (subscribe=true)
2024-06-04 00:13:03,481 INFO  SumoGuiAmbassador - Adding new vehicle "veh_32" at simulation time 48000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:03,482 INFO  SumoGuiAmbassador - Adding new vehicle "veh_33" at simulation time 48000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:03,485 INFO  SumoGuiAmbassador - Adding new vehicle "veh_34" at simulation time 48000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,486 INFO  SumoGuiAmbassador - Adding new vehicle "veh_35" at simulation time 48000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,490 INFO  SimulationFacade - Removed vehicle "veh_17" at simulation time 49000000000ns
2024-06-04 00:13:03,533 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 50.500,900,000 s: vehicleId="veh_22", edgeId="587061854_42434800_42429874", position="72.56018324863008", laneIndex=2, duration=5000000000, stopMode=STOP
2024-06-04 00:13:03,537 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 50.501,400,000 s: vehicleId="veh_18", edgeId="587061854_42434800_42429874", position="70.62176801570544", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:03,538 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 50.501,400,000 s: vehicleId="veh_10", edgeId="587061854_42434800_42429874", position="77.92871280049258", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:03,541 INFO  SumoGuiAmbassador - Receive VehicleResume request at simulation time 50.501,900,000 s: vehicleId="veh_18"
2024-06-04 00:13:03,542 WARN  VehicleFacade - Could not resume vehicle veh_18
2024-06-04 00:13:03,591 INFO  SimulationFacade - Removed vehicle "veh_20" at simulation time 52000000000ns
2024-06-04 00:13:03,591 INFO  SimulationFacade - Removed vehicle "veh_7" at simulation time 52000000000ns
2024-06-04 00:13:03,628 INFO  SimulationFacade - Removed vehicle "veh_24" at simulation time 54000000000ns
2024-06-04 00:13:03,629 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_36" received at simulation time 54000000000 ns (subscribe=true)
2024-06-04 00:13:03,629 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_37" received at simulation time 54000000000 ns (subscribe=true)
2024-06-04 00:13:03,629 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_38" received at simulation time 54000000000 ns (subscribe=true)
2024-06-04 00:13:03,629 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_39" received at simulation time 54000000000 ns (subscribe=true)
2024-06-04 00:13:03,658 INFO  SumoGuiAmbassador - Adding new vehicle "veh_36" at simulation time 54000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:03,659 INFO  SumoGuiAmbassador - Adding new vehicle "veh_37" at simulation time 54000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:03,661 INFO  SumoGuiAmbassador - Adding new vehicle "veh_38" at simulation time 54000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,662 INFO  SumoGuiAmbassador - Adding new vehicle "veh_39" at simulation time 54000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,667 INFO  SimulationFacade - Removed vehicle "veh_21" at simulation time 55000000000ns
2024-06-04 00:13:03,722 INFO  SimulationFacade - Removed vehicle "veh_11" at simulation time 57000000000ns
2024-06-04 00:13:03,737 INFO  SimulationFacade - Removed vehicle "veh_28" at simulation time 58000000000ns
2024-06-04 00:13:03,772 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_40" received at simulation time 60000000000 ns (subscribe=true)
2024-06-04 00:13:03,772 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_41" received at simulation time 60000000000 ns (subscribe=true)
